Fase;Tipo de tronadura;Tipo Material;M;Dominio Estructural;Banco;Diámetro;Fc;Cota;B;S;tiempo_1;tiempo_2
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2855.0;12.25;523.0;2855.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3425.0;12.25;149.0;3425.0;13.0;14.0;7.0;84.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3515.0;12.25;230.0;3515.0;10.5;10.5;9.0;94.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2885.0;12.25;523.0;2885.0;7.0;7.0;2.0;25.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3425.0;12.25;149.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2885.0;12.25;524.0;2885.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3470.0;12.25;176.0;3470.0;14.0;14.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2825.0;12.25;521.0;2825.0;7.0;7.0;5.0;72.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2825.0;12.25;538.0;2825.0;7.0;7.0;5.0;36.0
Stage 1;Tronadura 2;Roca 2;L1;Noreste;3455.0;12.25;159.0;3455.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 1;Roca 2;L4;Noreste;2945.0;10.625;344.0;2945.0;7.5;9.0;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2870.0;12.25;498.0;2870.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2915.0;12.25;482.0;2915.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2870.0;12.25;492.0;2870.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3485.0;12.25;166.0;3485.0;10.5;10.5;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3470.0;12.25;161.0;3470.0;11.0;12.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2960.0;12.25;466.0;2960.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3425.0;12.25;143.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2900.0;12.25;513.0;2900.0;7.5;7.5;4.0;30.0
Stage 4;Tronadura 1;Roca 2;L1;Noreste;2975.0;10.625;341.0;2975.0;7.5;9.0;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L2;Norte;3425.0;12.25;154.0;3425.0;13.0;14.0;7.0;84.0
Stage 2;Tronadura 2;Roca 2;L2;Norte;3410.0;12.25;160.0;3410.0;13.0;14.0;7.0;85.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2930.0;12.25;536.0;2930.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3410.0;12.25;166.0;3410.0;14.0;14.0;7.0;85.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2975.0;10.625;468.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;504.0;2840.0;7.0;7.0;5.0;36.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3500.0;12.25;174.0;3500.0;10.5;10.5;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2960.0;10.625;456.0;2960.0;6.5;6.5;17.0;120.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2960.0;12.25;465.0;2960.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;485.0;2840.0;7.0;7.0;5.0;36.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2870.0;12.25;528.0;2870.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3470.0;12.25;198.0;3470.0;11.0;12.0;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2960.0;10.625;461.0;2960.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2885.0;12.25;466.0;2885.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Sureste;2915.0;12.25;467.0;2915.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3425.0;12.25;143.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2990.0;12.25;424.0;2975.0;6.5;6.5;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3530.0;12.25;104.0;3530.0;13.5;14.0;9.0;94.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3425.0;12.25;150.0;3425.0;13.0;14.0;7.0;84.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2945.0;10.625;456.0;2945.0;6.5;6.5;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L8;Noreste;3440.0;12.25;151.0;3440.0;13.0;14.0;7.0;42.0
Stage 4;Tronadura 1;Roca 1;L3;Noreste;2945.0;10.625;459.0;1945.0;6.5;6.5;11.0;105.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2840.0;12.25;504.0;2840.0;7.0;7.0;5.0;36.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2915.0;12.25;473.0;2915.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2900.0;12.25;498.0;2900.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2990.0;10.625;481.0;2990.0;6.5;6.5;11.0;105.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3485.0;12.25;180.0;3485.0;10.5;10.5;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2885.0;12.25;466.0;2885.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 1;Roca 1;L4;Norte;2960.0;10.625;456.0;2960.0;6.5;6.5;17.0;120.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2900.0;12.25;474.0;2900.0;7.0;7.0;4.0;30.0
Stage 2;Tronadura 2;Roca 1;L4;Norte;3545.0;7.875;301.0;3545.0;5.0;5.5;5.0;87.0
Stage 4;Tronadura 1;Roca 1;L4;Noreste;2930.0;10.625;480.0;2930.0;6.5;6.5;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3470.0;12.25;226.0;3470.0;11.0;12.0;4.0;30.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3410.0;12.25;166.0;3410.0;14.0;14.0;7.0;85.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3395.0;12.25;179.0;3395.0;9.0;18.0;7.0;84.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2945.0;12.25;513.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2900.0;12.25;493.0;2900.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L3;Noreste;2960.0;12.25;500.0;2960.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2855.0;12.25;553.0;2855.0;7.0;7.0;4.0;30.0
Stage 4;Tronadura 2;Roca 1;L4;Noreste;2945.0;12.25;484.0;2945.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2960.0;12.25;492.0;2960.0;7.0;7.0;5.0;87.0
Stage 4;Tronadura 2;Roca 1;L4;Norte;2975.0;12.25;501.0;2975.0;7.0;7.0;5.0;87.0
Stage 2;Tronadura 2;Roca 2;L8;Norte;3530.0;10.625;104.0;3530.0;8.5;10.0;9.0;94.0
Stage 4;Tronadura 1;Roca 2;L1;Noreste;2960.0;10.625;350.0;2960.0;7.5;9.0;17.0;120.0
Stage 2;Tronadura 2;Roca 2;L2;Norte;3395.0;12.25;170.0;3395.0;13.0;14.0;7.0;85.0
Stage 2;Tronadura 2;Roca 2;L1;Norte;3470.0;12.25;161.0;3470.0;11.0;12.0;4.0;30.0
