Fase;Banco;Tipo de tronadura;Tipo Material;M;Dominio Estructural;Diámetro;BxS;Tiempo entre Pozos Filas ms;Fc;Tipo Explosivo;P10;P20;P30;P40;P50;P60;P70;P80;P90;P100;Este;Norte;Cota;B;S;tiempo_1;tiempo_2
Stage 5;2930.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;498.0;J;0.12;0.55;0.87;1.46;2.6;3.94;5.12;6.5;9.37;15.08;59095.2;90292.2;2930.0;6.5;6.5;11.0;105.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;424.0;J;0.24;0.51;0.83;1.46;2.52;3.62;4.88;6.34;8.46;13.54;59276.7;90607.7;2990.0;6.5;6.5;11.0;105.0
Stage 4;2930.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;424.0;J;0.39;0.79;1.26;1.85;2.72;3.62;4.8;6.38;9.25;14.61;59067.4;90335.2;2930.0;6.5;6.5;11.0;105.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x8;5-87;385.0;J;0.16;0.67;1.1;1.69;2.6;3.66;4.72;6.22;8.15;16.46;59278.6;90567.5;2990.0;6.5;8.0;5.0;87.0
Stage 2;3575.0;Tronadura 2;Roca 1;L8;Norte;10.625;7x7;5-87;507.0;K;0.59;0.79;1.02;1.34;1.89;2.91;4.06;4.88;6.38;11.46;59238.4;91671.4;3575.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Noreste;12.25;6.5x6.5;11-105;471.0;L;0.39;0.79;1.14;1.65;2.4;3.39;4.49;5.71;7.36;13.82;59260.1;90222.2;2990.0;6.5;6.5;11.0;105.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;507.0;M;0.787402;1.3779535;2.4409462000000004;3.2677183;3.9763801;4.5669316;5.2755934;6.2204758;8.4645715;9.6456745;59200.0;90467.0;2990.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;507.0;L;0.8661422;1.2598432;1.7322843999999997;2.3228359;2.9921276000000003;3.8188997;4.5275615;5.5511841;7.1653582;13.0315031;59243.0;90237.0;2990.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Noreste;12.25;6.5x6.5;11-105;471.0;M;0.5118113;1.1417329;2.1653555;3.0708678;4.1338605;4.724412;6.299216;6.7716572;8.8582725;10.8267775;59227.0;90384.0;2990.0;6.5;6.5;11.0;105.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;471.0;J;0.5511814;1.0236226000000002;2.2440957000000004;3.0314977;3.7795296;4.8031522;5.5511840999999995;6.6535469;8.267721;9.5275642;59273.0;90863.0;2990.0;6.5;6.5;11.0;105.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;7x7;5-87;469.0;J;0.5905515;2.0866153;2.8346472;3.5826791;4.2519708;5.0000027;5.708664499999999;6.4566964;7.87402;9.5669343;59270.0;90875.0;2990.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;507.0;L;0.6299216;1.2204731000000002;1.9291348999999998;2.5590565;3.2677183;4.0157502;4.8031522;6.0236253;7.086618;10.8267775;59394.0;89932.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;508.0;L;0.8267721;1.7716545;2.6771667999999997;3.3464585;3.8976398999999997;4.4488213;5.1968532;6.0236253;7.9133901;10.1968559;59237.0;90373.0;2990.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Norte;12.25;7x7;5-87;507.0;L;0.5118113;0.9055122999999999;1.6929143;2.4409462;3.149608;3.93701;4.6456718;5.6692944;7.5590592;10.236226;59240.0;90268.0;2990.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Noreste;12.25;6x6;11-105;491.0;L;0.5905515;1.2598432;2.0078751;2.6377967;3.1889781000000004;3.8976399;4.6456718;5.7086645;6.6535469;10.3149662;59259.0;90291.0;2990.0;6.0;6.0;11.0;105.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Norte;10.625;7.5x9;17-120;262.0;J;0.4330711;0.6692916999999999;1.5354339;2.5984266;3.4251987;4.2126007;5.3543335999999995;6.1023655;7.2440984;9.9212652;59176.0;90883.0;2990.0;7.5;9.0;17.0;120.0
Stage 4;3575.0;Tronadura 1;Roca 2;L8;Norte;10.625;7x7;5-87;508.0;F;0.4330711;0.5905515;0.8267721;1.2598432;1.6535442;2.1653555;2.7165369;3.93701;4.6456718;6.5748067;59154.0;91804.0;3575.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Norte;10.625;7x7;5-87;503.0;J;0.7480319;1.1023628;1.6535442;2.362206;3.3070884;4.2126007;5.118113;6.5748067;8.0315004;12.204731;59201.0;90887.0;2990.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Norte;12.25;6.5x6.5;11-105;424.0;L;0.2755907;0.9055122999999999;1.2992133;1.7716545;2.362206;3.2677183;4.2519708;5.6692944;8.0708705;12.7952825;59387.0;89996.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;7x7;5-87;503.0;J;0.7480319;1.3385833999999999;2.362206;3.2677183;3.9763801;4.8818924;5.4330738;6.4173263;7.6771695;11.9685104;59293.0;90523.0;2990.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Norte;12.25;6.5x6.5;11-105;424.0;L;0.4;0.7;1.2;2.0;2.9;3.7;4.7;5.9;8.0708705;13.7;59366.6;90034.7;2975.0;6.5;6.5;11.0;105.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;7x7;5-87;514.0;J;0.6;1.1;1.8;2.8;3.6;4.3;5.1;6.4;8.4;14.5;59292.5;90477.1;2990.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 1;Roca 2;L1;Norte;10.625;7.5x9;5-87;439.0;J;0.4;0.8;1.3;1.9;2.4;3.2;3.8;4.7;5.6;11.5;59460.5;89628.5;2990.0;7.5;9.0;5.0;87.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7.5x9;;263.0;L;0.4;0.7;1.2;2.0;3.0;4.0;5.0;6.0;9.4;14.0;59356.5;90218.2;2990.0;7.5;9.0;;
Stage 4;2975.0;Tronadura 2;Roca 2;L1;Norte;10.625;7.5x9;5-87;468.0;J;0.2;0.5;0.9;1.7;2.4;3.3;4.2;5.4;6.9;12.6;59390.7;89593.5;2975.0;7.5;9.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;6.5x6.5;11-105;462.0;J;0.5;1.2;2.6;3.5;4.1;4.8;5.6;6.6;8.1;9.7;59205.1;90967.0;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;7.5x9;5-87;468.0;J;0.3;0.7;1.1;2.0;3.1;4.1;5.0;6.5;8.9;13.8;59447.1;89912.6;2975.0;7.5;9.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;6.5x6.5;11-105;462.0;J;0.4;0.7;1.2;1.7;2.3;3.0;3.4;4.5;6.1;9.4;59187.7;90482.5;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;7.5x9;5-87;468.0;J;0.2;0.5;1.1;2.4;3.5;4.3;5.4;6.3;7.5;11.3;59435.2;89945.1;2975.0;7.5;9.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;503.0;J;0.4;0.8;1.2;1.7;2.4;3.4;4.3;5.9;7.9;12.1;59177.7;90553.8;2975.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 2;Roca 1;L4;Norte;12.25;7.5x9;5-87;468.0;L;0.4;0.8;1.3;2.0;3.0;3.9;4.8;5.9;7.1;14.0;59372.2;90030.3;2975.0;7.5;9.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;6.5x6.5;11-105;462.0;J;0.1;0.4;1.1;2.4;3.3;4.1;5.0;6.1;7.4;10.4;59177.6;90596.9;2975.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 1;Roca 1;L4;Noreste;10.625;7.5x9;5-87;468.0;J;0.7;1.2;2.0;2.7;3.3;4.1;4.9;6.2;7.3;10.2;59425.7;90103.3;2990.0;7.5;9.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;6.5x6.5;11-105;481.0;J;0.1;0.6;0.9;1.7;3.0;4.0;5.2;6.3;7.8;12.6;;;;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;468.0;L;0.67;1.1;1.5;2.05;2.87;3.58;4.53;5.35;7.17;10.94;59171.0;90656.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;481.0;J;0.35;0.75;1.14;1.81;2.68;3.86;4.76;6.02;8.07;15.24;59376.0;90238.0;2990.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;468.0;L;0.67;1.06;1.46;1.89;2.56;3.46;4.37;5.59;7.56;12.13;59175.0;90668.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;503.0;J;0.47;0.75;1.06;1.65;2.36;3.19;4.49;5.98;7.64;10.59;59370.0;90254.0;2990.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;468.0;L;0.47;0.91;1.85;2.64;3.31;4.02;4.76;5.47;7.09;8.54;59158.0;90697.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 1;Roca 1;L4;Noreste;10.625;6.5x6.5;11-105;503.0;J;0.12;0.47;0.75;1.1;1.89;3.23;4.65;6.26;8.27;15.08;59360.0;90259.0;2990.0;6.5;6.5;11.0;105.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;468.0;L;0.63;0.91;1.22;1.73;2.4;3.19;4.17;5.43;7.95;16.69;59174.0;90720.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;468.0;L;0.39;0.67;0.94;1.38;2.09;3.03;4.17;5.47;7.32;14.02;59147.0;90696.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;490.0;L;0.16;0.39;0.75;1.1;1.77;2.95;4.57;6.38;8.9;14.06;59213.0;90566.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;542.0;K;0.47;0.67;1.1;1.73;2.87;3.74;4.84;6.14;7.48;11.97;59336.0;89975.0;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;490.0;K;0.55;0.91;1.46;2.44;3.5;4.53;5.35;6.54;8.94;12.01;59311.45;90028.87;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;542.0;K;0.63;1.01;1.46;1.89;2.56;3.43;4.37;5.39;6.89;13.46;59230.42;90502.81;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;542.0;K;0.67;1.02;1.46;1.93;2.64;3.46;4.33;5.55;7.24;16.06;59309.45;90064.87;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;542.0;K;0.3;0.6;1.0;1.9;3.0;3.9;5.0;6.1;7.6;10.2;59309.6;90070.8;2975.0;7.0;7.0;5.0;87.0
Stage 4;2975.0;Tronadura 2;Roca 1;L4;Noreste;12.25;7x7;5-87;513.0;B;0.3;0.7;1.8;3.0;3.7;4.3;5.0;5.9;7.2;10.0;59288.0;90123.2;2975.0;7.0;7.0;5.0;87.0
Stage 4;2990.0;Tronadura 1;Roca 2;L1;Norte;10.625;7.5x9;5-87;297.0;K;0.3;0.6;1.8;2.6;3.4;3.9;4.5;5.1;6.1;7.7;59362.3;89443.8;2990.0;7.5;9.0;5.0;87.0
