P10;P20;P30;P40;P50;P60;P70;P80;P90;P100
0.35;0.67;1.02;1.5;2.13;2.95;3.9;5.39;6.85;12.01
0.28;0.47;0.83;1.3;1.85;2.48;3.03;3.78;4.61;8.62
0.6299216;1.0236226000000002;1.4173236;1.8110245999999999;2.2047256;2.5984266;3.3464585;4.0551203000000005;5.905515;9.0944931
0.16;0.39;0.67;1.06;1.97;3.19;4.45;5.59;7.05;12.13
0.12;0.47;0.75;1.02;1.42;2.2;3.27;4.76;6.97;13.82
0.5905515;1.6929143;2.755907;3.3858286;4.1338605;4.724412;5.2755934;5.7874047;6.299216;9.0157529
0.51;0.75;0.98;1.3;1.73;2.32;3.03;3.82;5.35;9.84
0.393701;0.9055123;1.6141741000000005;2.2834658;3.0708678;4.0157502;4.724412;5.7480345999999995;7.086618;13.3464639
0.35;0.79;1.22;2.05;3.03;3.86;4.72;5.75;7.4;16.77
0.3149608;0.4724412;0.6692916999999999;0.9055122999999999;1.2598432;1.8110245999999999;2.5196864;3.5826790999999996;4.488191400000001;5.708664499999999
0.9448824;1.4566937;1.968505;2.5196864;2.9921276000000003;3.4645687999999994;4.1338605;4.8425223;5.905515;12.598432
0.08;0.12;0.47;0.75;1.46;2.64;3.86;5.59;7.91;15.08
0.8267721;1.3779535;2.2440957000000004;2.8740172999999998;3.543309;4.330711;4.881892400000001;6.1417356;8.8976426;10.7480373
0.24;0.47;0.71;1.14;1.85;2.8;3.86;5.28;6.89;10.71
0.6692916999999999;1.2598432;1.6929143;2.1259854;2.5196864;2.9527575;3.3858286;3.8976398999999997;4.370081099999999;7.0472479
0.35;0.51;0.75;1.06;1.46;2.05;2.64;3.7;5.2;9.25
0.35;0.71;1.06;1.61;2.36;3.5;4.61;6.06;8.43;13.86
0.08;0.08;0.12;0.35;0.59;1.06;2.36;3.86;6.22;12.95
0.08;0.08;0.24;0.39;0.79;2.95;4.76;6.1;7.52;8.86
0.1;0.4;0.7;1.4;2.6;3.7;4.4;5.3;6.5;11.1
0.5511814;0.7480319000000001;0.9448824;1.2204731000000002;1.6929143;2.362206;3.1889781000000004;3.9763801;5.905515;7.4409489
0.8661421999999999;1.2992133;1.6929143;2.2047256;2.9527575;3.5826790999999996;4.291340900000002;5.118113;6.0236253;9.6456745
0.7086618;1.2598432;2.0078751;2.8346472;3.4645687999999994;4.291340900000001;4.881892400000001;5.9448851;6.8897675000000005;11.2204785
0.1574804;0.3149608;0.6299216;1.0629927;1.6535442;2.4803162999999997;3.1102379;3.9763801;5.3149635;10.118115699999999
0.2362206;0.6299216;2.1259854;3.149608;3.8976399;4.5275615;5.3543336;6.456696400000001;7.0472479;13.110243300000002
0.6299216;0.8661421999999999;1.1417329;1.4173236;1.8503947;2.4409462000000004;3.5039389;5.5511840999999995;7.87402;13.0708732
0.6692916999999999;0.9448824;1.3385834;1.9291348999999998;2.6771668;3.2677183;4.1338605;4.881892400000001;6.0236253;11.6535496
0.8661421999999999;1.9291349;2.6771668;3.2677183;4.1732306;5.0000027000000005;5.3937037000000005;6.102365499999999;7.2834685;9.566934300000002
0.67;1.1;1.5;1.97;2.76;3.58;4.53;5.91;7.36;14.8
0.5511814;1.3779535;2.2047256;2.7952771;3.5826791;4.1732306;5.0393728;5.8267748;7.007877799999999;10.590556900000001
0.9448824;1.6141741000000005;2.2047256;2.8346472;3.3070884;3.7795296;4.370081099999998;5.2755934;6.8897675000000005;8.188980800000001
0.2;0.55;0.79;1.22;1.85;2.52;3.11;3.74;4.69;6.97
0.39;0.71;1.06;1.54;2.28;3.39;4.8;6.18;8.82;14.53
0.5511814;1.181103;1.7716545;2.4015761;2.9133874;3.3858286;4.2126007;4.881892400000001;5.9448851;12.0866207
0.55;0.98;1.4;1.81;2.4;3.46;4.61;5.91;7.95;12.48
0.2755907;0.4724412;0.7086618;1.0236226000000002;1.574804;2.2834658;3.0708678;3.8188997000000002;4.724412;7.0472479
0.4;0.7;1.2;2.0;2.9;3.7;4.7;5.9;8.0708705;13.7
0.7480319000000001;1.968505;2.7952771;3.2283482000000006;3.6614193;4.094490400000001;4.5275615;4.881892400000001;5.905515;8.5433117
0.2755907;0.4724412;0.6692916999999999;0.9842525;1.4960638000000002;2.0866153;2.8346472;3.6614193;4.6456718;7.795279799999999
0.12;0.39;0.67;1.26;2.24;3.74;4.92;6.3;8.23;12.09
0.28;0.47;0.71;1.06;1.54;2.05;2.68;3.62;5.83;8.98
1.0629927;2.2834658;2.9921276000000003;3.5039388999999996;4.0551203000000005;4.724412;5.3543336;5.984255200000001;7.1259881;9.921265199999999
0.12;0.39;0.51;0.79;1.06;1.81;3.39;5.51;7.91;11.26
0.9448824;1.4566937;1.968505;2.5196864;2.9921276000000003;3.6220491999999997;4.291340900000002;5.118113;6.2204758;8.4252014
